Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
,,,0,Нет старой цены,Нет скидки,
JavaScript. Рецепты для разработчиков,Скотт Адам Д. и др.,Питер:Бестселлеры O`Reilly,2539,3255,22,На складе
Искусство чистого кода. Как избавиться от сложности и упростить жизнь,Майер Кристиан,Питер:Библиотека программиста,1412,1810,22,На складе
Микросервисы. От архитектуры до релиза,"Митра Ронни, Надареишвили Иракли",Питер:Бестселлеры O`Reilly,2121,2719,22,На складе
Алгоритмы и структуры данных на Python.  Учебное пособие,Чернышев Станислав Андреевич,Кнорус:Бакалавриат,1719,2644,35,Ограничено
"97 вещей, о которых должен знать каждый Java-программист","Хенни Кевлин, Триша Джи",Бомбора:Мировой компьютерный бестселлер,1388,Нет старой цены,Нет скидки,На складе
Безопасность веб-приложений. Исчерпывающий гид для начинающих разработчиков,Янка Таня,Бомбора:КиберБез. Лучшие книги о безопасности в сети,1530,Нет старой цены,Нет скидки,На складе
Линейное программирование. Часть 1. Учебное пособие для бакалавриата,Шандра Игорь Георгиевич,Прометей,612,941,35,Ограничено
Level up! Руководство по созданию классных видеоигр,Роджерс Скотт,Бомбора:Мировой компьютерный бестселлер,2053,Нет старой цены,Нет скидки,На складе
Современный С++. Безопасное использование,Лакос Джон и др.,ДМК-Пресс,4900,7539,35,На складе
Модернизация Java Enterprise. Облачные технологии для разработчиков,"Эйзеле Маркус, Винто Натале",Питер:Бестселлеры O`Reilly,2114,2710,22,На складе
NeoBook. Практикум по быстрому программированию с нуля,Лёвкин Вадим Евгеньевич,Директмедиа Паблишинг,768,1181,35,Ограничено
Ruby для романтиков. Самая простая книга по Ruby с заданиями,Пушкин Роман,ДМК-Пресс,2358,3628,35,На складе
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань:Компьютеры и программное обеспечение,720,1107,35,На складе
Инструментальные средства инфокоммуникационных систем. Теория и практика. Учебное пособие,"Заяц Анатолий Моисеевич, Логачев Алексей Андреевич",Лань:Компьютеры и программное обеспечение,3213,4943,35,На складе
,,,0,Нет старой цены,Нет скидки,
Программирование микропроцессорных систем на языке С-51. Учебное пособие,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,1461,2247,35,На складе
Программирование микропроцессорных систем на языке С-51. Учебное пособие для СПО,Микушин Александр Владимирович,Лань:Компьютеры и программное обеспечение,1270,1954,35,На складе
